id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
6	0	41	47	61	4	1	20	15	6
4	0	33	49	92	20	6	59	33	16
1	0	0	1	115	57	11	115	47	1
15	0	140	149	168	8	1	28	19	9
13	0	121	131	176	23	2	55	30	10
12	0	92	232	247	15	0	155	140	140
26	0	360	370	404	11	1	44	32	10
25	0	325	334	459	45	9	134	80	9
22	0	292	302	506	20	1	214	193	10
35	0	494	507	510	3	0	16	13	13
32	0	446	462	548	34	6	102	62	16
42	0	558	565	579	5	1	21	15	7
37	0	508	549	595	19	2	87	66	41
44	0	571	580	674	28	5	103	70	9
47	0	612	627	682	25	2	70	43	15
30	0	422	602	695	44	2	273	227	180
48	0	683	699	715	11	1	32	20	16
50	0	689	696	737	15	5	48	28	7
49	0	688	716	748	20	1	60	39	28
14	0	135	784	802	18	0	667	649	649
31	0	445	749	807	20	4	362	338	304
5	0	36	808	824	16	0	788	772	772
23	0	308	323	923	29	4	615	582	15
43	0	562	842	965	58	6	403	339	280
19	0	174	190	1105	132	14	931	785	16
3	0	31	37	1153	91	10	1122	1021	6
27	0	367	372	1209	57	5	842	780	5
38	0	513	1170	1271	58	6	758	694	657
2	0	27	1224	1311	36	6	1284	1242	1197
8	0	65	78	1452	69	13	1387	1305	13
20	0	181	186	1518	53	6	1337	1278	5
36	0	495	537	1532	102	9	1037	926	42
39	0	515	555	1662	66	5	1147	1076	40
9	0	72	218	1673	87	19	1601	1495	146
7	0	64	1700	1727	27	0	1663	1636	1636
33	0	457	460	1837	71	7	1380	1302	3
34	0	492	511	1903	72	11	1411	1328	19
17	0	161	1559	1919	143	15	1758	1600	1398
45	0	584	1979	2009	30	0	1425	1395	1395
28	0	380	1949	2059	46	5	1679	1628	1569
29	0	396	405	2103	49	3	1707	1655	9
21	0	245	256	2162	89	9	1917	1819	11
40	0	518	524	2240	75	6	1722	1641	6
24	0	312	2110	2293	83	7	1981	1891	1798
10	0	79	1920	2343	72	7	2264	2185	1841
41	0	534	1312	2392	104	5	1858	1749	778
16	0	155	2402	2458	45	2	2303	2256	2247
11	0	82	2298	2558	85	8	2476	2383	2216
18	0	171	2459	2568	79	3	2397	2315	2288
46	0	603	2569	2652	80	1	2049	1968	1966
0	0	0	0	2652	2	0	2652	2650	0
