id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	1	31	19	0	31	12	1
11	0	86	191	396	6	3	310	301	105
24	0	227	448	458	10	0	231	221	221
15	0	100	249	574	24	0	474	450	149
8	0	65	123	598	28	0	533	505	58
32	0	310	612	615	3	0	305	302	302
13	0	92	210	931	36	2	839	801	118
51	0	456	1002	1008	6	0	552	546	546
66	0	598	1289	1303	14	0	705	691	691
34	0	324	642	1406	26	0	1082	1056	318
75	0	706	1509	1514	5	0	808	803	803
83	0	767	1642	1648	6	0	881	875	875
4	0	16	32	1830	53	4	1814	1757	16
96	0	892	1912	1916	4	0	1024	1020	1020
106	0	985	2092	2101	9	0	1116	1107	1107
26	0	232	472	2247	32	2	2015	1981	240
116	0	1092	2296	2302	6	0	1210	1204	1204
29	0	243	516	2422	27	2	2179	2150	273
150	0	1504	3015	3021	6	0	1517	1511	1511
38	0	346	713	3104	25	1	2758	2732	367
40	0	348	732	3153	22	1	2805	2782	384
156	0	1591	3180	3186	6	0	1595	1589	1589
161	0	1685	3355	3364	9	0	1679	1670	1670
3	0	6	22	3443	62	4	3437	3371	16
173	0	1797	3588	3601	13	0	1804	1791	1791
93	0	860	1831	3694	17	0	2834	2817	971
180	0	1865	3721	3727	6	0	1862	1856	1856
194	0	1964	3985	3989	4	0	2025	2021	2021
196	0	1977	4016	4028	12	0	2051	2039	2039
104	0	958	2030	4211	12	1	3253	3240	1072
107	0	1009	2128	4405	14	0	3396	3382	1119
109	0	1013	2147	4434	14	0	3421	3407	1134
222	0	2174	4474	4477	3	0	2303	2300	2300
225	0	2203	4509	4521	12	0	2318	2306	2306
230	0	2264	4619	4625	6	0	2361	2355	2355
114	0	1078	2265	4682	16	2	3604	3586	1187
124	0	1180	2458	4972	14	0	3792	3778	1278
31	0	257	555	5101	37	4	4844	4803	298
62	0	567	1219	5129	31	1	4562	4530	652
130	0	1298	2641	5307	3	3	4009	4003	1343
131	0	1300	2644	5317	21	0	4017	3996	1344
258	0	2662	5318	5323	5	0	2661	2656	2656
33	0	318	629	5700	35	1	5382	5346	311
282	0	2874	5774	5783	9	0	2909	2900	2900
146	0	1445	2915	5918	18	0	4473	4455	1470
295	0	2983	6027	6038	11	0	3055	3044	3044
86	0	783	1677	6791	19	1	6008	5988	894
371	0	3794	7572	7580	8	0	3786	3778	3778
373	0	3815	7607	7609	2	0	3794	3792	3792
381	0	3906	7800	7801	1	0	3895	3894	3894
384	0	3934	7854	7858	4	0	3924	3920	3920
102	0	940	1989	8173	29	1	7233	7203	1049
204	0	2018	4153	8249	18	0	6231	6213	2135
411	0	4213	8351	8355	4	0	4142	4138	4138
415	0	4247	8423	8435	12	0	4188	4176	4176
419	0	4271	8498	8499	1	0	4228	4227	4227
213	0	2074	4291	8558	15	2	6484	6467	2217
439	0	4469	8900	8903	3	0	4434	4431	4431
227	0	2214	4548	9099	23	0	6885	6862	2334
463	0	4716	9396	9406	10	0	4690	4680	4680
117	0	1109	2316	9496	14	2	8387	8371	1207
118	0	1115	2324	9546	25	0	8431	8406	1209
119	0	1131	2341	9642	17	1	8511	8493	1210
240	0	2372	4860	9697	21	0	7325	7304	2488
60	0	538	1160	9870	36	3	9332	9293	622
