id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
4	0	55	349	362	13	0	307	294	294
15	0	171	606	619	13	0	448	435	435
8	0	72	422	1034	26	1	962	935	350
10	0	122	468	1076	23	3	954	928	346
16	0	184	629	1199	18	1	1015	996	445
3	0	25	301	1448	31	3	1423	1389	276
5	0	56	372	1487	33	2	1431	1396	316
9	0	112	457	1962	23	5	1850	1822	345
13	0	129	547	2034	56	3	1905	1846	418
17	0	186	642	2061	18	3	1875	1854	456
20	0	205	723	2138	77	3	1933	1853	518
25	0	260	839	2256	84	7	1996	1905	579
6	0	66	385	2317	47	6	2251	2198	319
12	0	126	523	2392	56	7	2266	2203	397
14	0	150	571	2404	69	11	2254	2174	421
11	0	123	499	2636	108	9	2513	2396	376
23	0	234	805	2957	58	7	2723	2658	571
2	0	11	32	3376	380	19	3365	2966	21
22	0	223	777	3505	146	12	3282	3124	554
24	0	235	828	3519	146	12	3284	3126	593
7	0	67	411	3682	192	16	3615	3407	344
18	0	187	664	3704	168	18	3517	3331	477
19	0	191	699	3798	180	20	3607	3407	508
1	0	0	10	3902	164	20	3902	3718	10
21	0	222	753	4125	198	43	3903	3662	531
0	0	0	0	4125	-12	0	4125	4137	0
