id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	5	604	223	9	604	372	5
40	0	598	788	832	44	0	234	190	190
55	0	809	888	985	97	0	176	79	79
50	0	745	837	1039	95	1	294	198	92
24	0	384	1833	1969	33	6	1585	1546	1449
69	0	1058	1925	2023	72	2	965	891	867
98	0	1343	2171	2506	72	9	1163	1082	828
34	0	536	2873	2887	14	0	2351	2337	2337
75	0	1118	3275	3309	34	0	2191	2157	2157
23	0	358	3240	3389	105	1	3031	2925	2882
17	0	318	3394	3481	33	1	3163	3129	3076
47	0	695	3421	3587	101	2	2892	2789	2726
36	0	557	3504	3723	97	5	3166	3064	2947
45	0	683	3728	3844	71	1	3161	3089	3045
11	0	216	3910	4085	62	6	3869	3801	3694
37	0	558	4227	4279	52	0	3721	3669	3669
95	0	1324	4130	4323	63	2	2999	2934	2806
21	0	333	4433	4717	113	2	4384	4269	4100
87	0	1259	4729	4758	29	0	3499	3470	3470
86	0	1255	4852	5032	95	3	3777	3679	3597
77	0	1167	5187	5243	39	1	4076	4036	4020
84	0	1190	5455	5648	119	2	4458	4337	4265
81	0	1181	5653	5689	36	0	4508	4472	4472
39	0	591	5760	5776	16	0	5185	5169	5169
78	0	1170	5792	5826	34	0	4656	4622	4622
79	0	1176	5781	5834	9	2	4658	4647	4605
89	0	1270	5839	5926	61	1	4656	4594	4569
93	0	1309	5872	6052	58	3	4743	4682	4563
18	0	319	6297	6311	14	0	5992	5978	5978
72	0	1100	6316	6357	41	0	5257	5216	5216
9	0	158	6576	6614	18	2	6456	6436	6418
58	0	863	6598	6706	34	4	5843	5805	5735
13	0	294	6728	6820	45	1	6526	6480	6434
7	0	125	6711	6909	133	2	6784	6649	6586
27	0	442	7456	7585	72	1	7143	7070	7014
54	0	808	7590	7643	53	0	6835	6782	6782
67	0	1004	7876	7908	32	0	6904	6872	6872
66	0	998	7994	8060	23	1	7062	7038	6996
8	0	148	8668	8724	56	0	8576	8520	8520
64	0	960	8650	8757	41	3	7797	7753	7690
63	0	953	8778	8894	65	4	7941	7872	7825
62	0	940	9384	9522	41	2	8582	8539	8444
60	0	916	9549	9725	94	2	8809	8713	8633
15	0	301	9730	9749	19	0	9448	9429	9429
61	0	918	9477	9821	143	5	8903	8755	8559
30	0	501	9170	9928	239	6	9427	9182	8669
0	0	0	-1	10182	10182	0	10182	0	-1
