id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	2	0	1	57	15	0	57	42	1
4	0	62	63	82	12	1	20	7	1
13	0	214	215	234	9	1	20	10	1
20	0	305	308	320	2	0	15	13	3
26	0	379	390	446	14	8	67	45	11
49	1	756	761	792	9	1	36	26	5
37	1	561	562	835	18	4	274	252	1
12	1	191	192	880	10	1	689	678	1
17	1	280	281	974	41	3	694	650	1
10	1	162	163	1034	20	3	872	849	1
8	2	120	133	1101	13	1	981	967	13
43	2	656	657	1159	21	1	503	481	1
34	2	510	517	1259	17	1	749	731	7
31	2	450	457	1357	24	4	907	879	7
42	3	649	650	1535	17	4	886	865	1
9	3	152	153	1606	21	1	1454	1432	1
27	3	380	395	1612	28	1	1232	1203	15
15	3	238	239	1624	23	2	1386	1361	1
30	4	446	447	1720	28	1	1274	1245	1
28	4	389	401	1723	25	0	1334	1309	12
18	4	284	285	1728	37	5	1444	1402	1
22	5	308	326	1962	42	2	1654	1610	18
19	5	300	301	1970	46	6	1670	1618	1
41	5	613	614	2000	35	3	1387	1349	1
24	5	325	351	2093	43	3	1768	1722	26
38	5	583	584	2128	29	0	1545	1516	1
45	5	673	674	2144	41	7	1471	1423	1
48	6	752	753	2221	43	3	1469	1423	1
47	7	749	750	2442	46	2	1693	1645	1
50	8	760	766	2634	64	10	1874	1800	6
44	9	659	666	2721	80	13	2062	1969	7
16	9	251	252	2764	53	5	2513	2455	1
2	9	7	8	2890	73	11	2883	2799	1
3	10	15	16	3001	70	5	2986	2911	1
11	11	170	171	3075	83	10	2905	2812	1
5	11	73	74	3079	102	12	3006	2892	1
35	11	547	548	3173	86	16	2626	2524	1
39	11	599	600	3185	91	12	2586	2483	1
6	13	76	88	3349	115	15	3273	3143	12
32	14	487	488	3416	79	3	2929	2847	1
40	14	611	612	3462	127	9	2851	2715	1
7	15	115	127	3548	105	13	3433	3315	12
14	15	225	226	3557	115	16	3332	3201	1
21	16	307	315	3618	106	9	3311	3196	8
23	16	314	329	3621	119	8	3307	3180	15
46	17	704	705	3658	108	12	2954	2834	1
25	19	328	334	3731	141	17	3403	3245	6
33	19	498	499	3745	158	20	3247	3069	1
29	28	416	423	3883	178	16	3467	3273	7
36	42	551	552	3989	270	26	3438	3142	1
0	0	0	0	3989	4	0	3989	3985	0
