zid	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	48	48	0	48	0	0
5	0	173	268	345	77	0	172	95	95
3	0	23	262	431	19	5	408	384	239
4	0	78	345	447	30	8	369	331	267
6	0	280	359	503	115	9	223	99	79
7	0	447	503	552	49	0	105	56	56
8	0	495	552	601	49	0	106	57	57
2	0	22	48	685	298	1	663	364	26
10	0	713	713	740	22	5	27	0	0
9	0	652	685	770	43	42	118	33	33
11	0	760	770	919	132	9	159	18	10
12	0	839	892	1059	103	42	220	75	53
13	0	1017	1019	1265	229	12	248	7	2
17	0	1292	1448	1463	15	0	171	156	156
14	0	1140	1265	1535	130	1	395	264	125
15	0	1177	1463	1637	122	7	460	331	286
21	0	1798	1908	1942	34	0	144	110	110
23	0	1899	1956	1961	5	0	62	57	57
20	0	1652	1719	2052	97	24	400	279	67
22	0	1837	1942	2141	64	15	304	225	105
24	0	2049	2052	2151	40	7	102	55	3
19	0	1572	1679	2225	114	18	653	521	107
16	0	1263	1343	2366	170	9	1103	924	80
25	0	2117	2141	2423	142	13	306	151	24
18	0	1556	1637	2485	283	30	929	616	81
0	0	0	0	2485	55	0	2485	2430	0
