id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
7	2	0	20	59	5	0	59	54	20
14	2	0	24	66	5	0	66	61	24
11	5	0	14	144	11	0	144	133	14
13	6	0	22	175	15	1	175	161	22
12	6	0	16	191	15	13	191	189	16
4	8	0	18	224	18	0	224	206	18
6	8	0	12	228	19	5	228	214	12
3	10	0	4	257	26	31	257	262	4
5	12	0	6	281	28	11	281	264	6
2	13	0	0	288	30	44	288	302	0
1	23	0	0	375	56	33	375	352	0
10	38	0	10	468	85	28	468	411	10
8	57	0	26	535	121	10	535	424	26
9	57	0	8	555	120	57	555	492	8
16	20	2204	2204	2247	42	1	43	2	0
15	34	2086	2086	2270	77	65	184	172	0
17	4	2416	2416	2426	10	0	10	0	0
18	19	2570	2570	2646	44	32	76	64	0
19	40	2674	2674	2802	84	44	128	88	0
20	2	3030	3030	3035	5	0	5	0	0
21	39	3102	3102	3195	81	12	93	24	0
22	2	3199	3199	3205	6	0	6	0	0
23	7	3233	3233	3249	16	0	16	0	0
24	16	3264	3264	3298	34	0	34	0	0
25	0	3570	3570	3572	2	0	2	0	0
26	19	4110	4110	4149	39	0	39	0	0
27	8	4289	4289	4307	18	0	18	0	0
28	39	4363	4363	4449	82	4	86	8	0
30	3	4607	4607	4615	8	0	8	0	0
31	4	4645	4645	4659	11	3	14	6	0
29	10	4597	4597	4678	22	59	81	118	0
32	9	4894	4894	4938	22	4	44	26	0
33	29	4907	4907	4997	61	16	90	45	0
34	7	5058	5058	5097	17	22	39	44	0
35	0	5158	5158	5159	1	0	1	0	0
38	6	5271	5271	5284	13	0	13	0	0
36	19	5216	5216	5313	43	5	97	59	0
37	17	5243	5243	5317	39	17	74	52	0
40	9	5428	5428	5468	21	19	40	38	0
39	46	5347	5347	5482	101	13	135	47	0
41	0	5780	5780	5782	2	0	2	0	0
42	1	5937	5937	5943	5	1	6	2	0
43	6	6331	6331	6356	18	1	25	8	0
44	28	6335	6335	6420	60	19	85	44	0
45	0	6834	6834	6835	1	0	1	0	0
46	15	6965	6965	7011	33	13	46	26	0
47	56	7216	7216	7413	126	60	197	131	0
48	8	7398	7398	7452	19	35	54	70	0
49	9	7477	7477	7517	22	18	40	36	0
0	0	0	0	7517	5778	0	7517	1739	0
